GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
ACTA1	0	NA	0	NA	NA	NA	110616.999028185	0
ACTA2	NA	17876.8952783375	NA	NA	NA	NA	NA	NA
ACTA2.AS1	0	0	431.613111667667	NA	77.6920810464047	2024.83962328297	NA	0
ACTB	NA	58019.0126467343	106459.511337524	NA	37043.1147969036	NA	NA	NA
ACTC1	NA	522.174796050141	971.048856778409	1	605.101694387406	NA	NA	1
ACTG2	0	NA	NA	0	NA	NA	NA	NA
ACTL10	0	NA	925.963109771042	NA	154.433886866358	0	0	NA
ACTL6A	0	2199.26098812436	3587.75299635871	NA	1044.78268273636	9982.1917255732	0	0
ACTL6B	0	NA	0	NA	11.7631321070701	118.40983570048	0	NA
ACTL7A	NA	NA	0	NA	7.41079927152731	11.2753117899326	0	0
ACTL7B	NA	11.5499708912772	10.515699489645	5.21560798978019	9.91095127451815	0	0	0
ACTL8	NA	NA	184.754722762318	197.394195376504	NA	NA	6739.17901270826	NA
ACTL9	NA	31.8246835162876	39.3211267609603	39.4065677355527	NA	NA	1034.52156848892	NA
ACTN1	NA	NA	NA	NA	6017.41969974116	0	NA	0
ACTN2	NA	153.805403111415	406.67443486269	445.170393195884	160.280507834509	0	0	0
ACTN3	0	NA	304.665124757845	NA	53.6610955225132	0	4432.32952850091	0
ACTN4	0	NA	NA	11681.5157234485	3812.58810758831	49660.4011210051	359301.856298309	NA
ACTR10	1	5386.70797524271	1	NA	4409.84153386743	NA	1	1
ACTR1A	NA	2910.33219409257	NA	3782.77233560946	NA	0	NA	0
ACTR1B	NA	NA	NA	NA	1217.17393267667	NA	NA	NA
ACTR2	NA	NA	NA	NA	NA	45300.2405122876	0	NA
ACTR3	1	NA	NA	1	13692.0473485427	NA	NA	NA
ACTR3B	0	978.021107926369	2826.68933275897	NA	NA	12530.6350422979	0	0
ACTR3BP2	0	NA	NA	NA	NA	NA	9386.24771692863	NA
ACTR3C	0	NA	0	0	NA	NA	NA	NA
ACTR5	0	0	NA	NA	435.883689223828	NA	0	NA
ACTR6	NA	1	NA	NA	1540.07504997932	NA	1	NA
ACTR8	0	NA	NA	1865.98745604872	598.007067997361	NA	NA	0
ACTRT2	0	NA	NA	NA	NA	0	0	NA
ACTRT3	1	NA	NA	NA	108.966614479417	1	NA	NA
ACVR1	NA	1571.882022604	2007.09923579908	1	1879.14694871195	NA	1	1
