GeneSymbol	Neutrophils	Fibroblasts	Melanoma	Macrophage	Keratinocytes	CD4_T	CD8_T	Endothelial
AC017104.6	1	1	1	1	0.121659576263261	1	0.0241203146643338	1
AC018755.16	0.865370015426623	0.0376156729390738	1	0.808137628145253	1	1	0.319472823416469	1
AC018755.17	1	1	0.121175489704969	0.655058994631557	0.230379429907454	0.323630644602782	0.99087751755078	1
AC018766.6	1	0.748730561388174	0.843678027716122	0.700420387933286	0.0773443175681678	1	1	0.124040262194178
AC018816.3	1	1	0.349296173788439	1	0.0337628281339367	1	1	1
AC024560.2	1	5.80238065011804e-09	0.00606725371687796	0.182592358108514	1.56833981642424e-17	0.432546491780256	0.448883994286757	0.276248947957172
AC025442.3	1	0.766492969640314	0.223566794842401	0.465312079053777	1.34759957780806e-05	0.116339414854835	1	1
AC064852.4	1	1	0.218576619346288	0.658143791777401	0.448675759837707	0.472139631460862	0.997228169927516	1
AC067956.1	0.978452933703939	1	1	0.814798242493642	0.091380154244907	0.756840487194561	0.80530770273541	1
AC068039.4	1	0.0562894778219122	0.730410527756538	0.54193939350684	0.0224448693431117	1	0.366956883490301	1
AC068138.1	0.173492450527448	0.49003691348952	1	0.105859798316389	0.442469307457758	0.0238430081635473	1	1
AC068831.3	1	0.282712092858013	0.560782350074472	0.242096781996798	1	1	1	1
AC073283.7	1	0.00698256439116229	0.54855508596191	1	0.577664745612214	1	0.998687766252239	1
AC073321.4	1	0.722630255146941	0.47024655862311	0.646384372539223	0.54006039997795	1	1	0.142382392950513
AC074212.6	0.8771761698683	0.463575207934272	1	0.810140603191743	0.344124571110464	0.728469165854725	1	0.887642815609712
AC079305.10	1	0.608318255305401	0.0223998129866607	0.570029104007809	0.0114805397490376	1	1	0.919104254777143
AC079741.2	1	0.247827722762277	0.715824024424185	1	0.264206744866704	1	0.677933314265659	1
AC079767.4	1	0.263461565877227	1	0.566178001104886	2.41002295088486e-08	1	1	1
AC079807.4	1	1	0.123366177972253	1	0.295348984004898	1	1	1
AC083843.1	1	0.132268097472568	1	0.676783799345088	0.587333861195033	1	0.193253465146124	1
AC083949.1	1	0.169271802955445	0.0887305452877618	1	0.00152504736772366	1	0.999211261735893	1
AC084219.3	1	0.339291336439616	0.91448773499657	0.224628051239533	1	0.505033193797064	1	1
AC087501.1	0.965643690750094	0.419124377542982	1	0.168753074405786	0.00557078990850403	0.571052944744096	1	1
AC090627.1	1	0.216269099897565	1	1	1	1	1	0.999887865649425
AC091133.1	0.212167869890235	0.640060815720829	1	1	0.00967221331883091	1	0.297031296314893	1
AC091633.3	1	0.653653076664538	0.736593780270275	0.21720871035788	0.336301998418503	1	0.58721941140211	1
